The Bozeman Daily
Bozeman Daily Chronicle
Daily Chronicle welcomes
Chronicle welcomes public
welcomes public comments
public comments on
comments on stories,
on stories, but
stories, but we
but we do
we do require
do require you
require you to
you to abide
to abide by
abide by some
by some ground
some ground rules.
ground rules. In
rules. In general:
In general: be
general: be polite,
be polite, don’t
polite, don’t post
don’t post obscenities,
post obscenities, stay
obscenities, stay on
stay on topic,
on topic, respect
topic, respect people’s
respect people’s privacy,
people’s privacy, don’t
privacy, don’t feed
don’t feed the
feed the trolls
the trolls and
trolls and be
and be responsible.
