This post originally
post originally appeared
originally appeared on
appeared on CreditSesame.com.
on CreditSesame.com. Neal
CreditSesame.com. Neal O’Farrell,
Neal O’Farrell, Credit
O’Farrell, Credit Sesame’s
Credit Sesame’s Security
Sesame’s Security and
Security and Identity
and Identity Theft
Identity Theft Expert,
Theft Expert, is
Expert, is one
is one of
one of the
of the most
the most experienced
most experienced consumer-security
experienced consumer-security experts
consumer-security experts on
experts on the
on the planet.
the planet. Over
planet. Over the
Over the last
the last 30
last 30 years
30 years he
years he has
he has advised
has advised governments,
advised governments, intelligence
governments, intelligence agencies,
intelligence agencies, Fortune
agencies, Fortune 500
Fortune 500 companies
500 companies and
companies and millions
and millions of
millions of consumers
of consumers on
consumers on identity
on identity protection,
identity protection, cybersecurity
protection, cybersecurity and
cybersecurity and privacy.
and privacy. As
privacy. As Executive
As Executive Director
Executive Director of
Director of the
of the Identity
the Identity Theft
Identity Theft Council,
Theft Council, Neal
Council, Neal has
Neal has personally
has personally counseled
personally counseled thousands
counseled thousands of
thousands of identity-theft
of identity-theft victims,
identity-theft victims, taken
victims, taken on
taken on cases
on cases referred
cases referred to
referred to him
to him by
him by the
by the FBI
the FBI and
FBI and Secret
and Secret Service,
Secret Service, and
Service, and interviewed
and interviewed some
interviewed some of
some of the
of the nation’s
the nation’s most
nation’s most notorious
most notorious identity
notorious identity thieves.
