Speaking in 2013,
in 2013, Martin
2013, Martin Knowles,
Martin Knowles, West
Knowles, West Midlands
West Midlands Police
Midlands Police Deputy
Police Deputy Air
Deputy Air Operations
Air Operations Manager,
Operations Manager, said:
Manager, said: 'Our
said: 'Our thermal
'Our thermal cameras
thermal cameras can
cameras can detect
can detect unusually
detect unusually high
unusually high temperatures
high temperatures coming
temperatures coming from
coming from properties
from properties several
properties several thousand
several thousand feet
thousand feet away
feet away –
away – anyone
– anyone growing
anyone growing cannabis
growing cannabis on
cannabis on a
on a commercial
a commercial scale,
commercial scale, using
scale, using rows
using rows of
rows of heat
of heat lamps,
heat lamps, runs
lamps, runs the
runs the very
the very real
very real risk
real risk their
risk their criminality
their criminality will
criminality will be
will be rumbled
be rumbled from
rumbled from the
from the skies.'
