Medium Large, LLC
Large, LLC -
LLC - All
- All data
All data and
data and information
and information provided
information provided on
provided on this
on this website
this website is
website is for
is for informational
for informational purposes
informational purposes only.
purposes only. The
only. The views
The views and
views and opinions
and opinions expressed
opinions expressed on
expressed on this
on this website
this website are
website are those
are those of
those of the
of the authors
the authors and
authors and do
and do not
do not reflect
not reflect the
reflect the views
the views or
views or opinions
or opinions of
opinions of the
of the National
the National Basketball
National Basketball Association
Basketball Association (NBA),
Association (NBA), the
(NBA), the Los
the Los Angeles
Los Angeles Lakers,
Angeles Lakers, it's
Lakers, it's employees,
it's employees, or
employees, or its’
or its’ affiliates.
its’ affiliates. LakersNation.com
affiliates. LakersNation.com is
LakersNation.com is an
is an independent
an independent fan
independent fan site
fan site and
site and not
and not associated
not associated with
associated with or
with or represent
or represent National
represent National Basketball
National Basketball Association
Basketball Association or
Association or the
or the Los
the Los Angeles
Los Angeles Lakers.
Angeles Lakers. Furthermore,
Lakers. Furthermore, LakersNation.com
Furthermore, LakersNation.com makes
LakersNation.com makes no
makes no representations
no representations as
representations as to
as to accuracy,
to accuracy, suitability,
accuracy, suitability, or
suitability, or validity
or validity of
validity of any
of any information
any information on
information on this
on this website
this website and
website and will
and will not
will not be
not be liable
be liable for
liable for any
for any errors,
any errors, omissions,
errors, omissions, or
omissions, or delays
or delays in
delays in this
in this information
this information or
information or any
or any losses,
any losses, injuries,
losses, injuries, or
injuries, or damages
or damages arising
damages arising from
arising from its
from its display
its display or
display or use.
or use. All
use. All information
All information is
information is provided
is provided on
provided on an
on an as-is
an as-is basis.
