I’m emotional, too.
emotional, too. We’ve
too. We’ve all
We’ve all helped
all helped Raju,
helped Raju, Suzy
Raju, Suzy and
Suzy and Asha.
and Asha. It
Asha. It won’t
It won’t be
won’t be long
be long before
long before we
before we get
we get the
get the others
the others to
others to a
to a safe
a safe place
safe place where
place where they
where they will
they will be
will be loved
be loved and
loved and cared
and cared for.
cared for. Thank
for. Thank you
Thank you all
you all at
all at Wildlife
at Wildlife SOS.
Wildlife SOS. Angels
SOS. Angels for
Angels for sure.
