Being fully fledged
fully fledged Australians,
fledged Australians, Hemmo
Australians, Hemmo and
Hemmo and Ash
and Ash Potato
Ash Potato decided
Potato decided that
decided that it
that it was
it was about
was about time
about time they
time they lost
they lost their
lost their surfing
their surfing V-cards,
surfing V-cards, so
V-cards, so they
so they spent
they spent yesterday
spent yesterday learning
yesterday learning to
learning to hang
to hang ten,
hang ten, fakie,
ten, fakie, carve,
fakie, carve, and
carve, and stand
and stand still
stand still looking
still looking really
looking really fit
really fit in
fit in a
in a wetsuit.
ures might make
might make you
make you cry
you cry tears
cry tears of
tears of happiness.
