Charlotte Observer is
Observer is pleased
is pleased to
pleased to provide
to provide this
provide this opportunity
this opportunity to
opportunity to share
to share information,
share information, experiences
information, experiences and
experiences and observations
and observations about
observations about what's
about what's in
what's in the
in the news.
the news. Some
news. Some of
Some of the
of the comments
the comments may
comments may be
may be reprinted
be reprinted elsewhere
reprinted elsewhere on
elsewhere on the
on the site
the site or
site or in
or in the
in the newspaper.
the newspaper. We
newspaper. We encourage
We encourage lively,
encourage lively, open
lively, open debate
open debate on
debate on the
on the issues
the issues of
issues of the
of the day,
the day, and
day, and ask
and ask that
ask that you
that you refrain
you refrain from
refrain from profanity,
from profanity, hate
profanity, hate speech,
hate speech, personal
speech, personal comments
personal comments and
comments and remarks
and remarks that
remarks that are
that are off
are off point.
off point. Thank
point. Thank you
Thank you for
you for taking
for taking the
taking the time
the time to
time to offer
to offer your
offer your thoughts.
