Syrian onlookers gather
onlookers gather outside
gather outside a
outside a damaged
a damaged building
damaged building as
building as search
as search continues
search continues for
continues for survivors
for survivors at
survivors at the
at the site
the site of
site of reported
of reported air
reported air strikes
air strikes by
strikes by regime
by regime forces
regime forces in
forces in the
in the rebel-held
the rebel-held area
rebel-held area of
area of Douma,
of Douma, east
Douma, east of
east of the
of the capital
the capital Damascus,
capital Damascus, on
Damascus, on February
on February 9,
February 9, 2015.
9, 2015. (ABD
2015. (ABD DOUMANY/AFP/Getty
(ABD DOUMANY/AFP/Getty Images)
