Ruthie took her
took her passion
her passion for
passion for The
for The Vampire
The Vampire Diaries
Vampire Diaries books
Diaries books and
books and started
and started Vampire
started Vampire Diaries
Vampire Diaries Online
Diaries Online in
Online in February
in February 2009.
February 2009. After
2009. After 6
After 6 years
6 years online,
years online, she
online, she continues
she continues to
continues to engage
to engage with
engage with fellow
with fellow TVD
fellow TVD fans
TVD fans here
fans here and
here and on
and on Twitter,
on Twitter, sharing
Twitter, sharing in
sharing in the
in the love
the love of
love of The
of The Vampire
The Vampire Diaries.
