The 46-year-old Kejriwal
46-year-old Kejriwal will
Kejriwal will take
will take oath
take oath as
oath as chief
as chief minister
chief minister at
minister at the
at the Ramlila
the Ramlila grounds
Ramlila grounds on
grounds on Feb
on Feb 14
Feb 14 –
14 – the
– the same
the same date
same date last
date last year
last year that
year that Kejrwial
that Kejrwial resigned
Kejrwial resigned as
resigned as chief
as chief minister,
chief minister, ending
minister, ending his
ending his 49-day
his 49-day stint
49-day stint heading
stint heading the
heading the Delhi
the Delhi government.
