The animated feature
animated feature film
feature film "Home"
film "Home" debuted
"Home" debuted at
debuted at No.
at No. 1
No. 1 with
1 with an
with an estimated
an estimated $54
estimated $54 million
$54 million in
million in the
in the U.S.
the U.S. and
U.S. and Canada
and Canada this
Canada this weekend,
this weekend, giving
weekend, giving Jeffrey
giving Jeffrey Katzenberg's
Jeffrey Katzenberg's DreamWorks
Katzenberg's DreamWorks Animation
DreamWorks Animation a
Animation a much-needed
a much-needed victory
much-needed victory at
victory at the
at the box
the box office
box office over
office over the
over the Will
the Will Ferrell
Will Ferrell and
Ferrell and Kevin
and Kevin Hart
Kevin Hart comedy
Hart comedy "Get
comedy "Get Hard."
eens as well.
