When you're close
you're close to
close to tears
to tears remember
tears remember someday
remember someday it'll
someday it'll all
it'll all be
all be over
be over One
over One day
One day we're
day we're gonna
we're gonna get
gonna get so
get so high
so high Though
high Though it's
Though it's darker
it's darker than
darker than December
than December what's
December what's ahead
what's ahead is
ahead is a
is a different
a different color
different color One
color One day
One day we're
day we're gonna
we're gonna get
gonna get so
get so high
so high And
high And at
And at the
at the end
the end of
end of the
of the day
the day remember
day remember the
remember the days
the days when
days when we
when we were
we were close
were close to
close to the
to the end
the end and
end and wonder
and wonder how
wonder how we
how we made
we made it
made it through
it through the
through the night
the night At
night At the
At the end
the end of
end of the
of the day
the day we
day we remember
we remember the
remember the way
the way we
way we stayed
we stayed so
stayed so close
so close to
close to the
to the end
the end we'll
end we'll remember
we'll remember it
remember it was
it was me
was me and
me and you
and you Cause
you Cause we
Cause we are
we are gonna
are gonna be
gonna be forever
be forever you
forever you and
you and me
and me you
me you will
you will always
will always keep
always keep it
keep it flying
it flying high
flying high in
high in the
in the sky
the sky of
sky of love
of love Don't
love Don't you
Don't you think
you think it's
think it's time
it's time you
time you started
you started doing
started doing what
doing what we
what we always
we always wanted
always wanted One
wanted One day
One day we're
day we're gonna
we're gonna get
gonna get so
get so high
so high Cause
high Cause even
Cause even the
even the impossible
the impossible is
impossible is easy
is easy when
easy when we
when we got
we got each
got each other
each other One
other One day
One day we're
day we're gonna
we're gonna get
gonna get so
get so high
so high And
high And at
And at the
at the end
the end of
end of the
of the day
the day remember
day remember the
remember the days
the days when
days when we
when we were
we were close
were close to
close to the
to the end
the end and
end and wonder
and wonder how
wonder how we
how we made
we made it
made it through
it through the
through the night
the night At
night At the
At the end
the end of
end of the
of the day
the day remember
day remember the
remember the way
the way we
way we stayed
we stayed so
stayed so close
so close to
close to the
to the end
the end we'll
end we'll remember
we'll remember it
remember it was
it was me
was me and
me and you
and you Cause
you Cause we
Cause we are
we are gonna
are gonna be
gonna be forever
be forever you
forever you and
you and me
and me You
me You will
You will always
will always keep
always keep it
keep it flying
it flying high
flying high in
high in the
in the sky
the sky of
sky of love
of love Cause
love Cause we
Cause we are
we are gonna
are gonna be
gonna be forever
be forever you
forever you and
you and me
and me You
me You will
You will always
will always keep
always keep it
keep it flying
it flying high
flying high in
high in the
in the sky
the sky of
sky of love
of love And
love And at
And at the
at the end
the end of
end of the
of the days
the days remember
days remember the
remember the days
the days when
days when we
when we were
we were close
were close to
close to the
to the end
the end and
end and wonder
and wonder how
wonder how we
how we made
we made it
made it through
it through the
through the night
the night At
night At the
At the end
the end of
end of the
of the day
the day remember
day remember the
remember the way
the way we
way we stayed
we stayed so
stayed so close
so close to
close to the
to the end
the end we'll
end we'll remember
we'll remember it
remember it was
it was me
was me and
me and you
and you Cause
you Cause we
Cause we are
we are gonna
are gonna be
gonna be forever
be forever you
forever you and
you and me
and me You
me You will
You will always
will always keep
always keep it
keep it flying
it flying high
flying high in
high in the
in the sky
the sky of
sky of love
of love Cause
love Cause we
Cause we are
we are gonna
are gonna be
gonna be forever
be forever you
forever you and
you and me
and me You
me You will
You will always
will always keep
always keep it
keep it flying
it flying high
flying high in
high in the
in the sky
the sky of
sky of love
of love Cause
love Cause we
Cause we are
we are gonna
are gonna be
gonna be forever
be forever you
forever you and
you and me
and me You
me You will
You will always
will always keep
always keep it
keep it flying
it flying high
flying high in
high in the
in the sky
the sky of
sky of love
of love Cause
love Cause we
Cause we are
we are gonna
are gonna be
gonna be forever
be forever you
forever you and
you and me
and me You
me You will
You will laways
will laways keep
laways keep it
keep it flying
it flying high
flying high in
high in the
in the sky
the sky of
sky of love
of love Cause
love Cause we
Cause we are
we are gonna
are gonna be
gonna be forever
be forever you
forever you and
you and me
and me You
me You will
You will always
will always keep
always keep it
keep it flying
it flying high
flying high in
high in the
in the sky
the sky of
sky of lovePL
of lovePL Kiedy
lovePL Kiedy jesteś
Kiedy jesteś blisko
jesteś blisko do
blisko do łez
do łez Pamiętam
łez Pamiętam pewnego
Pamiętam pewnego dnia
pewnego dnia to
dnia to wszystko
to wszystko się
wszystko się skończy
się skończy Pewnego
skończy Pewnego dnia
Pewnego dnia dostaniesz
dnia dostaniesz tak
dostaniesz tak wysokiej
tak wysokiej Choć
wysokiej Choć jest
Choć jest ciemniej
jest ciemniej niż
ciemniej niż w
niż w grudniu
w grudniu ,
grudniu , co
, co jest
co jest przed
jest przed nami
przed nami jest
nami jest innego
jest innego koloru
innego koloru Pewnego
koloru Pewnego dnia
Pewnego dnia dostaniesz
dnia dostaniesz tak
dostaniesz tak wysoko
tak wysoko i
wysoko i na
i na końcu
na końcu dzień
końcu dzień Pamiętam
dzień Pamiętam dni
Pamiętam dni ,
dni , kiedy
, kiedy byliśmy
kiedy byliśmy blisko
byliśmy blisko końca
blisko końca i
końca i zastanawiam
i zastanawiam się,
zastanawiam się, jak
się, jak udało
jak udało nam
udało nam się
nam się przez
się przez całą
przez całą noc
całą noc Na
noc Na koniec
Na koniec dnia
koniec dnia pamiętamy
dnia pamiętamy sposób
pamiętamy sposób zostaliśmy
sposób zostaliśmy tak
zostaliśmy tak blisko
tak blisko do
blisko do końca
do końca będziemy
końca będziemy pamiętać,
będziemy pamiętać, to
pamiętać, to ja
to ja i
ja i ty
i ty Bo
