New features are
features are added
are added with
added with every
with every release.
every release. Features
release. Features come
Features come from
come from you,
from you, the
you, the users
the users and
users and through
and through bugs,
through bugs, suggestions
bugs, suggestions and
suggestions and industry
and industry information.
ss all the
all the applications.
the applications. So
applications. So If
So If you
If you have
you have iPastureMgr
have iPastureMgr and
iPastureMgr and want
and want to
want to use
to use your
use your pasture
your pasture data
pasture data in
data in iCattleMgrPro
in iCattleMgrPro you
iCattleMgrPro you can
you can import
can import the
import the data
the data through
data through a
through a simple
a simple process.
