An IAB spokeswoman
IAB spokeswoman said
spokeswoman said the
said the organization
the organization is
organization is gathering
is gathering senior
gathering senior leaders
senior leaders from
leaders from companies
from companies that
companies that buy
that buy and
buy and sell
and sell media
sell media to
media to discuss
to discuss mobile
discuss mobile measurement.
mobile measurement. "Later
measurement. "Later in
"Later in the
in the year,
the year, we
year, we will
we will start
will start a
start a working
a working group
working group to
group to begin
to begin updating
begin updating IAB's
updating IAB's existing
IAB's existing mobile
existing mobile ad-measurement
mobile ad-measurement guidelines
ad-measurement guidelines with
guidelines with more
with more explicit
more explicit viewability
explicit viewability requirements
viewability requirements and
requirements and writing
and writing an
writing an industry
an industry standard
industry standard with
standard with our
with our partners
our partners from
partners from across
from across the
across the ecosystem,"
the ecosystem," she
ecosystem," she added.
she added. --
added. -- Michael
-- Michael Sebastian
