Not only did
only did I
did I in
I in no
in no way
no way misquote
way misquote Col.
misquote Col. Conway,
Col. Conway, take
Conway, take her
take her comments
her comments out
comments out of
out of context,
of context, or
context, or otherwise
or otherwise manipulate
otherwise manipulate her
manipulate her words:
her words: When
words: When she
When she made
she made that
made that comment,
that comment, I
comment, I asked
I asked her
asked her if
her if I
if I could
I could quote
could quote her
quote her and
her and read
and read her
read her words
her words back
words back to
back to her,
to her, and
her, and she
and she consented.
