• 2-year degree
2-year degree from
degree from an
from an accredited
an accredited university
accredited university in
university in Human
in Human Resources,
Human Resources, Hotel
Resources, Hotel and
Hotel and Restaurant
and Restaurant Management,
Restaurant Management, Hospitality,
Management, Hospitality, Business
Hospitality, Business Administration,
Business Administration, or
Administration, or related
or related major;
related major; 2
major; 2 years
2 years experience
years experience in
experience in the
in the human
the human resources
human resources or
resources or related
or related professional
related professional area;
professional area; certified
area; certified trainer.
