follow me.follow my
me.follow my voice.Someday
my voice.Someday something
voice.Someday something evil
something evil will
evil will grow
will grow inside
grow inside of
inside of you.And
of you.And it
you.And it will
it will eat
will eat you
eat you alive.We
you alive.We are
alive.We are the
are the one
the one to
one to save
to save you
save you .Our
you .Our voices
.Our voices ring
voices ring in
ring in you.
 matter what,
matter what, we
what, we are
we are always
are always there
always there for
there for you.we
for you.we are
you.we are not
are not alone
not alone because
alone because you
because you are
you are always
are always there
always there for
there for us.
