The only slavery
only slavery I
slavery I see
I see today
see today is
today is the
is the Muslims
the Muslims in
Muslims in Africa
in Africa kidnapping
Africa kidnapping girls
kidnapping girls and
girls and selling
and selling them.ISIS
selling them.ISIS kidnapping
them.ISIS kidnapping girls
kidnapping girls and
girls and selling
and selling them
selling them to
them to other
to other Muslims.
other Muslims. Is
Muslims. Is this
Is this not
this not slavery?
not slavery? I
slavery? I am
I am against
am against slavery,
against slavery, but
slavery, but why
but why are
why are fingers
are fingers pointed
fingers pointed at
pointed at me
at me and
me and other
and other whites
other whites for
whites for something
for something that
something that happened
that happened before
happened before I
before I was
I was born.
was born. Should
born. Should I
Should I be
I be ashamed
be ashamed of
ashamed of being
of being white?
being white? I
white? I don’t
I don’t think
don’t think so.
think so. I’m
so. I’m a
I’m a Republican
a Republican and
Republican and is
and is it
is it so
it so that
so that the
that the slave
the slave owners
slave owners were
owners were Dixie-crats?
were Dixie-crats? KKK=
Dixie-crats? KKK= Democrats?
KKK= Democrats? Abraham
Democrats? Abraham Lincoln=Republican=freed
Abraham Lincoln=Republican=freed the
Lincoln=Republican=freed the slaves?
the slaves? Wasn’t
slaves? Wasn’t it
Wasn’t it a
it a Republican
a Republican that
Republican that pushed
that pushed the
pushed the Civil
the Civil Rights
Civil Rights Bill?
Rights Bill? Oh
Bill? Oh BTW
Oh BTW I’m
BTW I’m a
I’m a Christian!
