When she's
she's not
not editing
editing and
and scheduling
scheduling posts,
posts, managing
managing the
the Marketing
Marketing Nerds
Nerds podcast,
podcast, or
or helping
helping with
with events
events and
and webinars,
webinars, Kelsey
Kelsey Jones
Jones helps
helps clients
clients around
around the
the world
world grow
grow their
their social
social media,
media, content,
content, and
and search
search marketing
marketing presence
presence under
under her
her agency,
agency, MoxieDot.
MoxieDot. She
She has
has been
been working
working in
in digital
digital marketing
marketing since
since 2007
2007 and
and journalism
journalism since
since 2004.
2004. Kelsey
Kelsey enjoys
enjoys writing
writing and
and consuming
consuming all
all kinds
kinds of
of content,
content, both
both in
in digital
digital and
and tattered
tattered paperback
paperback form.
