“The failings
failings of
of this
this era
era very
very much
much reflect
reflect what
what young
young people
people are
are now
now saying
saying about
about police
police shootings,�?
shootings,�? Stevenson
Stevenson said.
said. “It
“It is
is about
about embracing
embracing this
this idea
idea that
that ‘black
‘black lives
lives matter’,�?
matter’,�? he
he added.
added. “I
“I also
also think
think that
that the
the lynching
lynching era
era created
created a
a narrative
narrative of
of racial
racial difference,
difference, a
a presumption
presumption of
of guilt,
guilt, a
a presumption
presumption of
of dangerousness
dangerousness that
that got
got assigned
assigned to
to African
African Americans
Americans in
in particular
particular –
– and
and that’s
that’s the
the same
same presumption
presumption of
of guilt
guilt that
that burdens
burdens young
young kids
kids living
living in
in urban
urban areas
areas who
who are
are sometimes
sometimes menaced,
menaced, threatened,
threatened, or
or shot
shot and
and killed
killed by
by law
law enforcement
enforcement officers.�?
