Indeed business
business is
is already
already growing
growing withMonday's
withMonday's announcement
announcement of
of the
the first
first partnership
partnership between
between County
County Louth-based
Louth-based ABP
ABP Foods
Foods Group
Group and
and US
US company
company Sysco,
Sysco, worth
worth over
over $17
$17 million.
million. Fifty
Fifty years
years ago
ago America
America was
was the
the biggest
biggest export
export market
market for
for Irish
Irish beef.
beef. While
While that
that has
has changed
changed drastically
drastically in
in the
the half
half century
century since,
since, many
many in
in the
the Irish
Irish beef
beef industry
industry will
will be
be hoping
hoping for
for a
a long,
long, fruitful
fruitful relationship
relationship between
between Irish
Irish beef
beef and
and American
American consumers.
