''In principle,
principle, it's
it's a
a pretty
pretty serious
serious assault.
assault. In
In terms
terms of
of impact,
impact, it
it remains
remains to
to be
be seen
seen because
because it's
it's a
a relatively
relatively small
small percentage
percentage of
of the
the population
population that's
that's chosen
chosen fair
fair share,''
share,'' Mr.
Mr. Bruno
Bruno said.
said. ''This
''This is
is an
an assault
assault on
on the
the institutional
institutional existence
existence of
of the
the union
union in
in the
the public
public sector,
sector, and
and these
these sorts
sorts of
of fights
fights are
are historic
historic fights
fights and
and have
have big
big impact.''
loyees are
are union
union members.
