When snow
snow fell
fell on
on the
the Dutch
Dutch town
town of
of Haarlem
Haarlem last
last week
week (that’s
(that’s Haarlem,
Haarlem, not
not Harlem,
Harlem, FYI),
FYI), the
the roof
roof of
of one
one house
house was
was left
left suspiciously
suspiciously bare.
bare. Was
Was it
it because
because of
of the
the massive
massive amounts
amounts of
of heat
heat generated
generated by
by the
the heat
heat lamps
lamps need
need to
to grow
grow the
the plants?
plants? Taking
Taking the
the weather’s
weather’s hint,
hint, police
police raided
raided the
the property
property and
and found
found cannabis
cannabis production
production on
on an
an industrial
industrial scale.
