Here are
are some
some of
of the
the ways
ways in
in which
which this
this app
app will
will help
help you:•
you:• New
New Car
Car Research:
Research: Explore
Explore all
all the
the details
details including
including Specs,
Specs, Pictures,
Pictures, Mileage,
Mileage, etc
etc of
of any
any new
new car
car in
in India.•
India.• Used
Used Car
Car Search:
Search: With
With a
a listing
listing of
of over
over 25,000
25,000 used
used cars
cars across
across India,
India, you
you can
can surely
surely find
find a
a one
one that
that fits
fits your
your needs•
needs• Sell
Sell Car:
Car: Upload
Upload your
your used
used car
car for
for sale
sale and
and find
find the
the biggest
biggest customer
customer base
base for
for your
your car•
car• User
User Reviews:
Reviews: Real
Real user
user opinions
opinions to
to guide
guide you
you to
to make
make an
an informed
informed choice
choice for
for your
your dream
dream car•
car• News:
News: The
The enthusiasts
enthusiasts can
can get
get the
the most
most updated,
updated, exhaustive
exhaustive and
and latest
latest news
news from
from the
the Auto
Auto Industry
