The sight
sight of
of the
the coat
coat as
as a
a motif
motif is
is what
what I
I remember
remember from
from this
this and
and think
think it
it has
has been
been used
used in
in a
a Simpson
Simpson episode
episode and
and x
x files
files since
since .I
.I always
always preferred
preferred performance
performance to
to this
this myself
myself of
of his
his films
films great
great review
review I
I must
must find
find my
my dvd
dvd of
of it
it and
and watch
watch it
it again
again been
been a
a while
errible joke
joke with
with a
a nightmare
nightmare punchline.
