The program
program was
was designed
designed to
to catch
catch more
more wealthy
wealthy overseas
overseas tax
tax cheats.
cheats. But
But one
one of
of its
its unintended
unintended consequences
consequences is
is that
that those
those Americans
Americans are
are simply
simply giving
giving up
up on
on being
being Americans.
mericans overseas—even
overseas—even those
those who
who never
never lived
lived in
in the
the U.S.
U.S. or
or have
have a
a tangential
tangential connection
connection here—are
here—are now
now under
under far
far more
more pressure
pressure to
to file
file detailed
detailed tax
tax returns
returns and
and pay
pay U.S.
U.S. taxes
taxes on
on their
their overseas
overseas income.
