Additionally, even
even if
if one
one is
is not
not a
a Shafi’i
Shafi’i in
in Fiqh
Fiqh it
it is
is instructive
instructive nonetheless
nonetheless to
to listen,
listen, benefit,
benefit, and
and learn
learn from
from this
this lecture
lecture series.
series. This
This is
is due
due to
to the
the overwhelming
overwhelming influence
influence Shafi’i
Shafi’i Usul
Usul has
has had
had on
on the
the development
development of
of Usul
Usul Al
Al Fiqh.
Fiqh. Setting
Setting the
the trend
trend for
for leading
leading personalities
personalities in
in other
other three
three existing
existing schools
schools (Hanafi,
(Hanafi, Maliki
Maliki and
and Hanbali)
Hanbali) to…
