To learn
learn more
more about
about how
how Cars
Cars Move
Move America,
America, visit
visit our
our state
state fact
fact sheets
sheets to
to see
see data
data on
on your
your own
own state,
state, and
and get
get the
the full
full 2015
2015 Jobs
Jobs Report
Report here.
as a
a significant
significant auto
auto manufacturing
manufacturing presence
presence (U.S./Canada,
(U.S./Canada, 13.4
13.4 million
million vehicles;
vehicles; China,
China, 22.1
22.1 million;
million; Japan,
Japan, 9.6
9.6 million;
million; Germany,
Germany, 5.9
5.9 million,
million, Brazil,
Brazil, 3.8
3.8 million;
million; India,
India, 3.9
3.9 million;
million; based
based on
on 2013
2013 production).
production). In
In fact,
fact, among
among the
the countries
countries which
which compose
compose the
the major
major economies
economies of
of the
the world
world called
called the
the â€œGroup
â€œGroup of
of 20â€?
20â€? (G20),
(G20), only
only one
one country
country (Saudi
(Saudi Arabia)
Arabia) does
does not
not have
have auto
auto production.
