Watch portions
portions of
of the
the interview
interview with
with Huckabee
Huckabee posted
posted online
online by
by RWW
RWW Blog:
thank God
God here
here in
in America
America for
for Dr.
Dr. Zuhdi
Zuhdi Jasser
Jasser and
and others
others who
who are
are willing
willing to
to speak
speak out,�?
out,�? Huckabee
Huckabee said.
said. “But
“But they’re
they’re willing
willing to
to say
say something
something that
that the
the American
American president
president won’t
won’t say,
say, that
that it
it is
is Islam
Islam and
and that
that there
there is
is a
a perversion
perversion of
of it
it that
that is
is very
very deadly
deadly and
and dangerous,
dangerous, and
and that
that it
it isn’t
isn’t Christians’
Christians’ fault
fault that
that people
people are
are having
having their
their heads
heads cut
cut off.�?
