In a
a subsequent
subsequent overarching
overarching tax
tax deal
deal with
with Switzerland,
Switzerland, Hartnett
Hartnett went
went on
on record
record saying
saying it
it was
was unlikely
unlikely any
any bankers
bankers would
would be
be prosecuted,
prosecuted, due
due to
to lack
lack of
of evidence.
 tax
tax evaders
evaders and
and those
those who
who deliberately
deliberately conceal
conceal information
information from
from us.
us. But
But in
in most
most cases,
cases, disclosure
disclosure and
and civil
civil fines
fines are
are the
the most
most appropriate
appropriate and
and effective
effective intervention,
intervention, and
and that
that is
is how
how we
we have
have approached
approached the
the receipt
receipt of
of data
data from
from leaks
leaks and
and whistleblowers,
whistleblowers, including
including the
the Swiss
Swiss HSBC
HSBC data
data that
that was
was shared
shared with
with HMRC
HMRC in
in May
May 2010.â€?
