It's safe
safe to
to say
say that
that New
New Jersey,
Jersey, and
and specifically
specifically Newark,
Newark, has
has not
not been
been shown
shown in
in the
the best
best light
light in
in the
the public
public eye.
eye. With
With extremely
extremely high
high crime,
crime, murder
murder and
and unemployment
unemployment rates,
rates, NADUS
NADUS seems
seems to
to bring
bring light
light and
and a
a positive
positive message
message from
from within
within a
a city
city fighting
fighting to
to rise
rise above
above this
this stigma.
stigma. 22-year-old
22-year-old Nadus
Nadus Bright,
Bright, Jr
Jr is
is a
a true
true cultural
cultural product
product of
of his
his city.
city. He's
He's used
used the
the negative
negative surroundings
surroundings of
of his
his upbringing
upbringing to
to shed
shed a
a positivity
positivity light
light from
from his
his neighborhood
neighborhood to
to global
global appeal.
appeal. The
The THREAD
THREAD co-founder,
co-founder, Jersey
Jersey Club
Club and
and future
future bass
bass pioneer,
pioneer, was
was co-signed
co-signed as
as a
a Brick
Brick Bandits
Bandits member
member at
at the
the young
young age
age of
of 15.
15. With
With support
support from
from G's
G's like
like Diplo,
Diplo, Dirty
Dirty South
South Joe,
Joe, Sliink,
Sliink, Tim
Tim Dolla,
Dolla, it's
it's time
time for
for NADUS'
NADUS' story
story of
of life,
life, music,
music, and
and triumph
triumph to
to shine
shine Bright
Bright >
