The G20-OECD
G20-OECD meeting
meeting will
will also
also address
address issues
issues of
of systemic
systemic importance
importance to
to sustainable
sustainable private
private sector
sector growth,
growth, including
including the
the institutionalisation
institutionalisation of
of growth
growth companies
companies and
and SMEs
SMEs and
and capital
capital market
market development
development in
in emerging
emerging market
market economies.
the new
new Principles
Principles contribute
contribute to
to making
making the
the financial
financial sector
sector serve
serve the
the real
real economy.
