We were
were excited
excited to
to catch
catch up
up with
with our
our friends,
friends, Tanya
Tanya Goodman-Sykes,
Goodman-Sykes, Michael
Michael Sykes,
Sykes, and
and Johnny
Johnny Minick,
Minick, this
this week
week via
via Skype
Skype to
to check
check in
in and
and talk
talk a
a little
little about
about the
the debut
debut of
of their
their first
first project
project together.
together. Check
Check it
it out
out by
by clicking
clicking the
the Gaither.com
Gaither.com Exclusive
Exclusive viewing
viewing box
box here:
