Medium Large,
Large, LLC
LLC -
- All
All data
data and
and information
information provided
provided on
on this
this website
website is
is for
for informational
informational purposes
purposes only.
only. The
The views
views and
and opinions
opinions expressed
expressed on
on this
this website
website are
are those
those of
of the
the authors
authors and
and do
do not
not reflect
reflect the
the views
views or
or opinions
opinions of
of the
the National
National Basketball
Basketball Association
Association (NBA),
(NBA), the
the Los
Los Angeles
Angeles Lakers,
Lakers, it's
it's employees,
employees, or
or its’
its’ affiliates.
affiliates. LakersNation.com
LakersNation.com is
is an
an independent
independent fan
fan site
site and
and not
not associated
associated with
with or
or represent
represent National
National Basketball
Basketball Association
Association or
or the
the Los
Los Angeles
Angeles Lakers.
Lakers. Furthermore,
Furthermore, LakersNation.com
LakersNation.com makes
makes no
no representations
representations as
as to
to accuracy,
accuracy, suitability,
suitability, or
or validity
validity of
of any
any information
information on
on this
this website
website and
and will
will not
not be
be liable
liable for
for any
any errors,
errors, omissions,
omissions, or
or delays
delays in
in this
this information
information or
or any
any losses,
losses, injuries,
injuries, or
or damages
damages arising
arising from
from its
its display
display or
or use.
use. All
All information
information is
is provided
provided on
on an
an as-is
as-is basis.
