The single-family
single-family home
home sat
sat vacant
vacant for
for the
the last
last five
five years
years and
and was
was boarded
boarded up
up in
in 2014
2014 after
after neighborhood
neighborhood kids
kids broke
broke in
in and
and vandalized
vandalized the
the property.
property. Officials
Officials say
say the
the house
house is
is in
in serious
serious disrepair
disrepair and
and township
township records
records show
show it's
it's owned
owned by
by Key
Key Bank
Bank National
National Association
Association of
of New
New Jersey,
Jersey, which
which Radzik
Radzik said
said denied
denied ownership
ownership when
when contacted
contacted by
by legal
legal counsel.
