“This is
is tremendous
tremendous news
news for
for the
the hard-working
hard-working people
people of
of West
West Virginia
Virginia who
who deserve
deserve the
the opportunity
opportunity for
for a
a good
good job,
job, especially
especially in
in the
the Eastern
Eastern Panhandle
Panhandle where
where residents
residents will
will have
have a
a chance
chance to
to work
work closer
closer to
to home.
home. Procter
Procter &
& Gamble’s
Gamble’s decision
decision to
to build
build a
a major
major manufacturing
manufacturing facility
facility at
at the
the Tabler
Tabler Station
Station Business
Business Park
Park speaks
speaks volumes
volumes about
about the
the potential
potential of
of West
West Virginia’s
Virginia’s manufacturing
manufacturing sector
sector and
and the
the need
need to
to invest
invest in
in infrastructure
infrastructure projects.
projects. Ten
Ten years
years ago,
ago, I
I was
was proud
proud to
to help
help obtain
obtain a
a federal
federal grant
grant for
for infrastructure
infrastructure work
work at
at the
the Tabler
Tabler Station
Station Business
Business Park.
Park. I
I am
am even
even more
more proud
proud today
today to
to see
see that
that investment
investment led
led to
to such
such a
a major
major economic
economic development
development project.
project. I
I will
will continue
continue fighting
fighting for
for infrastructure
infrastructure investments
investments that
that will
will strengthen
strengthen our
our economy,
economy, create
create jobs,
jobs, and
and put
put West
West Virginia
Virginia on
on the
the map
map as
as a
a manufacturing
manufacturing destination.
destination. Welcome
Welcome to
to West
West Virginia,
Virginia, Procter
Procter &
& Gamble.�?
