uk http://malsfactory.blogspot.co.uk
http://malsfactory.blogspot.co.uk revised
revised &
& expanded
expanded edition
edition 24
24 April
April 2012
2012 GETHSEMANE
GETHSEMANE A
A type
type of
of Gethsemane.
Gethsemane. Not
Not so
so much
much the
the pain
pain –
– more
more the
the agony.
agony. Not
Not the
the absence
absence of
of sleep
sleep –
– more
more the
the ache;
ache; an
an ache
ache which
which penetrates
penetrates each
each sinew.
sinew. If
If only
only one
one had
had slept
slept like
like others
others do.
do. Oh,
Oh, how
how you’d
you’d love
love that
that luxury.
luxury. Wait
Wait for
for the
the next
next event
event –
– everything
everything burns,
burns, each
each pore
pore secretes
secretes anxiety.
anxiety. Has
Has it
it all
all come
come to
to this?
this? Who
Who knows
knows what
what follows
follows the
the restless
restless night.
night. Malcolm
Malcolm Evison
Evison 09
09 June
June 2005
2005 ACCORDION
ACCORDION Sometimes
Sometimes I
I feel
feel like
like an
an accordion
accordion squeezed
squeezed by
by some
some disembodied
disembodied self
self each
each chord
chord vibrates
vibrates bruised
bruised reeds
reeds each
each inspiration
inspiration teases
teases out
out a
a latent
latent voice
voice -
- rarely
rarely to
to be
be sustained
sustained -
- almost
almost as
as if
if it
it chokes
chokes on
on its
its own
own respiration.
respiration. Malcolm
Malcolm Evison
Evison 29
29 September
September -02
-02 October
October 2009
2009 THE
THE BODY
BODY SNATCHERS
SNATCHERS The
The body
body snatchers
snatchers called
called and
and found
found me
me void
void –
– where
where once
once there
there was
was a
a vibrant
vibrant heart,
heart, and
and thoughts
thoughts teemed
teemed endlessly
endlessly around
around -
- a
a residue
residue of
of aches
aches and
and pains
pains delineates
delineates the
the core
core -
- and
and Sisyphus
Sisyphus rejoices
rejoices to
to have
have found
found a
a new
new companion.
companion. Malcolm
Malcolm Evison
Evison 30
30 June
June 2005
2005 BEING
BEING God
God spoke
spoke –
– I
I dare
dare not
not listen.
listen. I
I could
could not
not face
face the
the stillness
stillness of
of simply
simply being
being there.
there. God
God spoke:
spoke: there
there were
were no
no words
words –
– I
I simply
simply saw
saw the
the suffering
suffering of
of others.
others. I
I could
could not
not share
share the
the stillness
stillness of
of simply
simply being
being there.
there. One
One day
