I love
love the
the title:
title: Basic
Basic Urban
Urban Math.
Math. In
In Hamilton
Hamilton we
we take
take away
away the
the one
one lane
lane for
for all
all the
the transit
transit riders
riders and
and give
give it
it to
to 4
4 more
more single
single occupancy
occupancy drivers....then
drivers....then the
the same
same geniuses
geniuses at
at city
city hall
hall who
who make
make these
these decisions
decisions whine
whine and
and cry
cry about
about our
our infrastructure
infrastructure deficit.
