This is
is a
a really
really exciting
exciting story
story with
with many
many twists
twists and
and turns.
turns. The
The complex
complex plot
plot keeps
keeps you
you on
on your
your toes,
toes, I
I found
found it
it compelling
compelling reading,
reading, and
and once
once I
I had
had started
started page
page turning,
turning, I
I couldn’t
couldn’t stop
stop until
until I
I had
had finished
finished it.
it. For
For science
science fiction
fiction fans
fans and
and those
those fascinated
fascinated with
with time
time travel
travel the
the theories
theories in
in this
this book
book are
are fascinating
fascinating and
and I
I would
would highly
highly recommend
recommend it.
