Again, assuming
assuming all
all other
other duties
duties are
are performed
performed well,
well, I
I really
really do
do not
not see
see a
a problem
problem teaching
teaching others
others duties
duties beyond
beyond their
their job
job description.
ause the
the company
company no
no longer
longer existed.
existed. I
I said,
said, “No,
“No, because
because it’s
it’s not
not about
about the
the company
company but
but the
the people.
people. What
What I
I taught
taught people
people they
they can
can apply
apply anywhere.
anywhere. If
If they
they choose,
choose, they
they can
can take
take it
it with
with them.
them. I
I even
even had
had one
one participant
participant call
call me
me eight
eight years
years later
later to
to use
use a
a presentation
presentation I
I made
made for
for his
his current
current employer.
employer. He
He liked
liked it
it so
so much
much he
he hunted
hunted me
me down.
down. There
There are
are few
few callings
callings more
more important
important than
than helping
helping another
another human
human being
being improve
improve herself.
