This event
event is
is produced
produced by
by Wine
Wine Business
Business Monthly,
Monthly, the
the leading
leading print
print publication
publication for
for the
the wine
wine industry.
industry. For
For more
more information,
information, visit
visit www.winebusinessiq.com.
istoric buildings
buildings will
will feature
feature product
product and
and technology
technology demonstrations
demonstrations and
and exhibitors
exhibitors showcasing
showcasing the
the latest
latest innovations
innovations in
in ultra-premium
ultra-premium winemaking,
winemaking, grape
grape growing,
growing, packaging
packaging and
and direct-to-consumer
direct-to-consumer sales.
