Real Cinema
Cinema is
is still
still being
being made
made despite
despite being
being now
now dwarfed
dwarfed at
at this
this festival
festival by
by TV,
TV, technology
technology and
and sports
sports conferences
conferences running
running concurrently.
concurrently. There’s
There’s even
even rumors
rumors of
of some
some sort
sort of
of food
food conference
conference being
being added
added next
next year
year which
which only
only added
added to
to our
our sense
sense that
that the
the arts
arts have
have become
become a
a minor
minor player
player in
in this
this festivals
festivals larger
larger vision.
vision. What
What ever
ever […][...]
sided a
a […][...]
