The A-10s
A-10s are
are the
the first
first of
of several
several TSP
TSP deployments
deployments to
to Europe.
Europe. Rotations
Rotations will
will generally
generally last
last six
six months,
months, depending
depending on
on mission
mission and
and U.S.
U.S. European
European Command
Command requirements.
requirements. Although
Although a
a first
first in
in Europe,
Europe, the
the Air
Air Force
Force has
has been
been conducting
conducting similar
similar TSP
TSP rotations
rotations in
in the
the Pacific
Pacific region
region since
since 2004.
