This rare
rare example
example of
of a
a gravitational
gravitational lens
lens is
is known
known as
as an
an ‘Einstein
‘Einstein Ring’
Ring’ —
— after
after Albert
Albert Einstein’s
Einstein’s theory
theory of
of general
general relativity
relativity that
that predicts
predicts the
the existence
existence of
of gravitational
gravitational lenses
lenses in
in deep
deep space
space —
— where
where the
the galactic
galactic cluster
cluster in
in the
the foreground
foreground and
and the
the hidden
hidden (lensed)
(lensed) galaxy
galaxy behind
behind are
are in
in almost
almost perfect
perfect alignment
alignment from
from our
our perspective.
