So happy
happy to
to have
have been
been chosen
chosen to
to record
record the
the voice
voice of
of 'Beni'
'Beni' the
the Bonobos
Bonobos in
in this
this beautiful
beautiful and
and touching
touching retelling
retelling of
of the
the journey
journey of
of this
this little
little Chimp.
Chimp. The
The film
film is
is released
released this
this spring.
spring. All
All proceeds
proceeds go
go to
to benefitting
benefitting this
this critically
critically endangered
endangered species.
species. http://www.whosay.com/l/RwIa8Ve
