Luckily Internet
Internet heroes
heroes BooYa
BooYa Pictures
Pictures have
have taken
taken it
it upon
upon themselves
themselves to
to improve
improve the
the original
original Fifty
Fifty Shades
Shades movie
movie trailer
trailer by
by replacing
replacing Dornan
Dornan with
with the
the Boardwalk
Boardwalk Empire
Empire star.
star. In
In the
the vastly
vastly superior
superior clip,
clip, perky
perky college
college grad
grad Anastasia
Anastasia Steele
Steele (Dakota
(Dakota Johnson)
Johnson) comes
comes to
to interview
interview the
the CEO
CEO of
of Grey
Grey Enterprises
Enterprises and
and can’t
can’t help
help but
but fall
fall in
in lust
lust with
with the
the man
man behind
behind the
the desk,
desk, who
who now
now played
played by
by Buscemi.
Buscemi. Can
Can you
you blame
blame her?
business man
man with
with singular
singular tastes
tastes is,
is, of
of course,
course, Steve
Steve Buscemi.
