Sixteen years
years after
after SpongeBob
SpongeBob SquarePants
SquarePants first
first appeared
appeared on
on television,
television, the
the yellow
yellow animated
animated character
character made
made a
a splash
splash on
on the
the big
big screen
screen this
this weekend
weekend with
with the
the release
release of
of "The
"The SpongeBob
SpongeBob Movie:
Movie: Sponge
Sponge Out
Out of
of Water."
find a
a script
script that
that you
you thought
thought would
would be
be great
great and
and you
you could
could sit
sit on
on that
that for
for a
a couple
couple of
of days--
days-- a
a week,
week, a
a month--have
month--have other
other people
people read
read it
it and
and think
think about
about it,"
it," he
he said.
said. "If
"If you
you love
love something
something now,
now, you
you really
really feel
feel the
the pressure--it’s
pressure--it’s palpable
palpable to
to 'buy
'buy in
in the
the room.'"
