St. Vincent
Vincent is
is in
in the
the midst
midst of
of a
a world
world tour
tour behind
behind her
her Grammy-winning
Grammy-winning self-titled
self-titled album.
album. After
After a
a short
short trek
trek through
through Asia
Asia later
later this
this month,
month, she'll
she'll kick
kick off
off a
a North
North American
American outing
outing March
March 3rd
3rd in
in Toronto.
ark says
says she
she "would
"would not
not trade
trade a
a single
single highway
highway or
or city
city or
or moment
moment or
or person
person [she]
[she] met
met for
for anything."
