Pregnancy seriously
seriously challenges
challenges your
your balance.
balance. Your
Your center
center of
of gravity
gravity changes
changes and
and I'm
I'm not
not nearly
nearly as
as much
much of
of a
a ninja
ninja as
as I
I used
used to
to be,
be, but
but I'm
I'm still
still working
working on
on it.
it. My
My workout
workout felt
felt great
great today
today and
and after
after weeks
weeks of
of really
really pushing
pushing myself
myself to
to even
even do
do them,
them, it
it was
was quite
quite a
a relief.
