Rarely do
do I
I get
get on
on soap
soap boxes
boxes but
but man
man this
this burned
burned me
me up.
up. Trying
Trying to
to eat
eat healthy
healthy lunch.
lunch. Went
Went to
to #panerabread
#panerabread and
and ordered
ordered sandwich.
sandwich. To
To my
my new
new found
found knowledge
knowledge you
you can't
can't eat
eat just
just a
a sandwich.
sandwich. You
You have
have to
to order
order a
a $10
$10 combo.
combo. Well
Well she
she said
said chips
chips or
or fruit?
fruit? I
I said
said fruit
fruit cup
cup that
that was
was on
on the
the counter.
counter. She
She said
said that
that cost
cost more,
more, how
how about
about an
an apple
apple (size
(size of
of tangerine)
tangerine) I
I said
said yes.
yes. She
She said
said what
what to
to drink.
drink. I
I said
said water
water or
or water
water bottle
bottle since
since it
it was
was To
To go.
go. She
She said
said water
water bottle
bottle cost
cost more.
more. So
So she
she took
took away
away my
my normal
normal cup
cup and
and told
told me
me to
to use
use water
water cups.
cups. (
( large
large Dixie
Dixie cup).
cup). This
This is
is a
a scam
scam that
that you
you can
can not
not order
order just
just a
a sandwich.
sandwich. Last
Last time
time at
at Panera
Panera Bread
Bread —
— at
at Panera
Panera Bread.
