Andrew Getty,
Getty, an
an heir
heir to
to the
the billion-dollar
billion-dollar Getty
Getty oil
oil fortune
fortune who
who was
was found
found dead
dead at
at his
his Hollywood
Hollywood Hills
Hills home
home Tuesday,
Tuesday, suffered
suffered from
from a
a serious
serious medical
medical condition
condition that
that put
put him
him at
at â€œgrave
â€œgrave risk
risk of
of substantial
substantial and
and irreparable
irreparable injury
injury or
or death,â€?
death,â€? according
according to
to court
court documents.
phabet and...
