IMPORTANT RISK
RISK DISCLOSURE
DISCLOSURE This
This site
site has
has been
been prepared
prepared solely
solely for
for information
information purposes,
purposes, and
and is
is not
not an
an offer
offer to
to buy
buy or
or sell
sell or
or a
a solicitation
solicitation of
of an
an offer
offer to
to buy
buy or
or sell
sell any
any security
security or
or instrument
instrument or
or to
to participate
participate in
in any
any particular
particular trading
trading strategy.
strategy. The
The information
information presented
presented in
in this
this site
site is
is for
for general
general information
information purposes
purposes only.
only. Although
Although every
every attempt
attempt has
has been
been made
made to
to assure
assure accuracy,
accuracy, we
we assume
assume no
no responsibility
responsibility for
for errors
errors or
or omissions.
omissions. Examples
Examples are
are provided
provided for
for illustrative
illustrative purposes
purposes only
only and
and should
should not
not be
be construed
construed as
as investment
investment advice
advice or
or strategy.
strategy. The
The information
information presented
presented herein
herein has
has not
not been
been designed
designed to
to meet
meet the
the rigorous
rigorous standards
standards set
set by
by the
the Commodity
Commodity Futures
Futures Trading
Trading Commission
Commission for
for disclosure
disclosure statements
statements concerning
concerning the
the risks
risks involved
involved in
in trading
trading futures
futures or
or options
options on
on futures.
futures. That
That disclosure
disclosure statement
statement must
must be
be provided
provided to
to you
you by
by your
your broker.
broker. The
The materials
materials in
in this
this site
site do
do not
not attempt
attempt to
to describe
describe the
the risks
risks to
to investors
investors that
that may
may be
be associated
associated with
with the
the way
way trading
trading is
is conducted
conducted in
in any
any particular
particular options
options market
market or
or in
in any
any market
market for
for an
an underlying
underlying or
or related
related interest.
interest. In
In the
the preparation
preparation of
of this
this site,
site, every
every effort
effort has
has been
been made
made to
to offer
offer the
the most
most current,
current, correct
correct and
and clearly
clearly expressed
expressed information
information possible.
possible. Nonetheless,
Nonetheless, inadvertent
inadvertent errors
errors can
can occur
occur and
and applicable
applicable laws,
laws, rules,
rules, and
and regulations
regulations often
often change.
change. Further,
Further, the
the information
information contained
contained herein
herein is
is intended
intended to
to afford
afford general
general guidelines
guidelines on
on matters
matters of
of interest,
interest, and
and to
to serve
serve solely
solely as
as an
an introduction
introduction to
to our
our financial
financial services.
services. Accordingly,
Accordingly, the
the information
information in
in this
this site
site is
is not
not intended
intended to
to serve
serve as
as legal,
legal, accounting,
accounting, or
or tax
tax advice.
advice. Users
Users are
are encouraged
encouraged to
to consult
consult with
with professional
professional advisors
advisors for
for advice
advice concerning
concerning specific
specific matters
matters before
before making
making any
any decision
decision impacting
impacting on
on these
these matters.
matters. This
This site
site disclaims
disclaims any
any responsibility
responsibility for
for losses
losses incurred
incurred for
for market
market positions
positions taken
taken by
by members
members or
or clients
clients in
in their
their individual
individual cases,
cases, or
or for
for any
any misunderstanding
misunderstanding on
on the
the part
part of
of any
any users
users of
of this
this website.
website. This
This site
site shall
shall not
not be
be liable
liable for
for any
any indirect
indirect incidental,
incidental, special
special or
or consequential
consequential damages,
damages, and
and in
in no
no event
event will
will this
this site
site be
be held
held liable
liable for
for any
any of
of the
the products
products or
or services
services offered
offered through
through this
this website.
website. By
By accessing
accessing or
or otherwise
otherwise using
using this
this website,
website, you
you are
are deemed
deemed to
to have
have read,
read, understood
understood and
and accepted
accepted this
this disclaimer.
