Canadian economy
economy still
still suffering
suffering from
from lack
lack of
of jobs,
jobs, Wilkins
Wilkins says
says Reviewed
Reviewed by
by on
on fév
fév 10.
10. By
By BARRIE
BARRIE McKENNA
McKENNA Economy
Economy produced
produced an
an average
average of
of 10,000
10,000 new
new jobs
jobs per
per month
month in
in 2014,
2014, or
or roughly
roughly 3,500
3,500 less
less than
than it
it should
should at
at this
this stage
stage in
in the
the recovery
recovery ...
... LireBy
LireBy BARRIE
BARRIE McKENNA
McKENNA Economy
Economy produced
produced an
an average
average of
of 10,000
10,000 new
new jobs
jobs per
per month
month in
in 2014,
2014, or
or roughly
roughly 3,500
3,500 less
less than
than it
it should
should at
at this
this stage
stage in
in the
the recovery
recovery ...
... Lire
Lire Rating:
