Police say
say the
the 63-year-old
63-year-old Hartman
Hartman told
told investigators
investigators she
she boarded
boarded the
the plane
plane in
in Minneapolis-St.
Minneapolis-St. Paul
Paul without
without a
a ticket
ticket and
and flew
flew to
to Jacksonville.
ble to
to fly,
fly, ticket-free,
ticket-free, from
from Minnesota
Minnesota to
to Florida.
Florida. Marilyn
Marilyn Hartman
Hartman was
was arrested
arrested Sunday
Sunday in
in Jacksonville,
Jacksonville, Fla.,
Fla., and
and is
is scheduled
scheduled to
to appear
appear in
in court
court there
there today.
