The above
above job
job is
is not
not related
related to
to uktemps
uktemps or
or Niffi
Niffi Ltd.
Ltd. This
This is
is purely
purely an
an electronic
electronic advertising
advertising service
service provided
provided by
by uktemps.
uktemps. uktemps
uktemps does
does not
not represent
represent nor
nor make
make warranty
warranty in
in respect
respect of
of the
the reliability
reliability or
or continuous
continuous supply
supply of
of the
the information
information on
on the
the uktemps
uktemps website.
