Booking is
is essential
essential on
on all
all courses.
courses. Contact
Contact us
us by
by email,
email, through
through our
our contact
contact form
form or
or call
call now
now on
on 01678
01678 521871
ourses are
are aimed
aimed at
at giving
giving you
you the
the opportunity
opportunity to
to learn
learn how
how to
to use
use ice
ice axes
axes and
and crampons,
crampons, master
master navigation
navigation in
in difficult
difficult conditions,
conditions, and
and also
also to
to spend
spend time
time looking
looking at
at evaluating
evaluating the
the snowpack
snowpack for
for avalanche
avalanche dangers,
dangers, using
using mountain
mountain weather
weather forecasts
forecasts to
to enable
enable safe
safe travel
travel in
in the
the mountains,
mountains, and
and drawing
drawing from
from your
your instructor's
instructor's experience
experience to
to pick
pick up
up a
a thousand
thousand and
and one
one tips
tips to
to make
make your
your future
future winter
winter walking
walking trips
trips fun
fun and
and safe.
safe. Oh,
Oh, and
and we'll
we'll do
do all
all of
of this
this on
on some
some of
of the
the finest
finest mountains
mountains in
in Snowdonia
Snowdonia and
and Scotland!
