"This is
is always
always a
a pleasure
pleasure for
for me
me to
to answer
answer to
to your
your questions
questions and
and try
try to
to match
match your
your request
request to
to our
our trips
trips as
as much
much as
as possible.
possible. So
So don’t
don’t hesitate
hesitate to
to ask
ask a
a question,
question, receive
receive a
a technical
technical sheet,
sheet, be
be informed
informed on
on the
the access,
access, on
on the
the levels
levels of
of activity
activity or
or anything
anything else
else :
: Send
Send me
me an
an email
email :
: cecile@icietlanature.com
