LOVED THE
THE ARTICLE!
ARTICLE! It
It emphasizes
emphasizes 1.
1. proactivity,
proactivity, 2.making
2.making sure
sure you
you are
are in
in music
music for
for the
the right
right reasons
reasons (love
(love and
and not
not fairy
fairy tales),
tales), 3.
3. being
being unafraid
unafraid to
to pay
pay some
some dues,
dues, 4.
4. making
making sure
sure that
that if
if you
you are
are going
going to
to give
give out
out samples
samples of
of your
your music,make
music,make sure
sure that
that people
people understand
understand that
that nothing
nothing is
is really
really free
free and
and that
that your
your music
music is
is of
of value,
value, and
and 5.
5. being
being sure
sure to
to negotiate
negotiate for
for what
what you
you deserve.
deserve. WHAT'S
WHAT'S NOT
NOT TO
TO LOVE?
