Mexico’s flourishing
flourishing automobile
automobile industry
industry has
has been
been a
a feather
feather in
in the
the cap
cap of
of its
its president,
president, Enrique
Enrique Peña
Peña Nieto,
Nieto, who
who has
has unfurled
unfurled the
the welcome
welcome mat
mat to
to foreign
foreign automakers.
automakers. The
The results
results have
have confirmed
confirmed the
the confidence
confidence of
of companies
companies from
from Audi
Audi to
to Toyota
Toyota in
in the
the country’s
country’s industrial
industrial competitiveness.
s expected
expected to
to open
open this
this year.
