Some cardiology
cardiology experts
experts disagree
disagree with
with this
this approach
approach because
because statins
statins offer
offer minimal
minimal benefits
benefits to
to those
those at
at low
low heart
heart disease
disease risk
risk —
— often
often at
at the
the cost
cost of
of side
side effects
effects like
like muscle
muscle aches
aches which
which make
make it
it harder
harder to
to exercise.
exercise. “While
“While some
some young
young individuals
individuals with
with a
a strong
strong family
family history
history will
will have
have cholesterol
cholesterol levels
levels high
high enough
enough to
to justify
justify treatment,
treatment, the
the real
real message
message here
here is
is the
the importance
importance of
of diet,
diet, exercise,
exercise, and
and smoking
smoking cessation
cessation early
early in
in life,�?
life,�? said
said Dr.
Dr. Paul
Paul Ridker,
Ridker, director
director of
of the
the center
center for
for cardiovascular
cardiovascular disease
disease prevention
prevention at
at Brigham
Brigham and
and Women’s
Women’s Hospital.
