Yet, three
three months
months ago
ago you
you threw
threw him
him under
under Ray
Ray Rice’s
Rice’s bus.
bus. I’ve
I’ve said
said for
for months
months I
I couldn’t
couldn’t see
see how
how a
a girl
girl whirling
whirling a
a Stiletto
Stiletto heel
heel whilst
whilst being
being hopped
hopped up
up on
on cocaine
cocaine and
and drinker
drinker than
than Hasselhoff
Hasselhoff eating
eating a
a cheeseburger
cheeseburger off
off the
the kitchen
kitchen floor
floor wasn’t
wasn’t even
even looked
looked at
at as
as an
an instigator.
instigator. Keep
Keep your
your popular
popular opinions
opinions to
to keep
keep readers….
