In closing
closing there
there is
is a
a great
great time
time to
to go
go topless!
topless! If
If a
a group
group of
of people
people can
can get
get together
together and
and raise
raise money
money for
for cancer,
cancer, more
more specifically
specifically breast
breast cancer!
cancer! This
This group
group of
of men
men got
got together
together to
to do
do just
just that!
that! My
My hat
hat is
is off
off to
to you
you all!
all! I
I think
think that
that the
the same
same applies
applies to
to women.
women. If
If you
you are
are able
able to
to donate
donate thousands
thousands of
of dollars
dollars to
to research,
research, or
or making
making the
the lives
lives of
of those
those more
more comfortable
comfortable then
then by
by all
all means
means take
take your
your top
top off
off and
and celebrate!
celebrate! Something
Something for
for everybody!
ch account
account that
that they
they bank
bank has.
has. Impossible
Impossible you
you say?
say? No,
No, each
each bank
bank is
is online
online every
every day.
day. You
You think
think that
that North
North Korea’s
Korea’s internet
internet and
and power
power went
went down
down just
just because,
because, or
or was
was it
it an
an attacker?
attacker? How
How about
about Sony
Sony Pictures?
Pictures? They
They came
came out
out and
and openly
openly said
said they
they were
were hacked!
hacked! If
If you
you can
can hack
hack Sony,
Sony, you
you can
can hack
hack anything.
anything. With
With that
that said,
said, have
have fun,
fun, but
but be
be careful!
careful! If
If you
you would
would like
like to
to be
be pictured
pictured in
in one
one of
of our
our network
network of
of blogs,
blogs, please
please let
let us
us know.
know. We
We would
would be
be happy
happy to
to share
share you
you with
with the
the world!
