Our hoodie/sweater
hoodie/sweater sizing
sizing broadly
broadly matches
matches our
our Unisex
Unisex tees
tees so
so if
if you
you wear
wear a
a Medium
Medium in
in them,
them, choose
choose a
a Medium
Medium Hoodie/Sweater
Hoodie/Sweater also.
also. To
To pick
pick your
your closest
closest size
size measure
measure your
your chest
chest size
size (that's
(that's all
all the
the way
way around
around your
your chest
chest at
at it's
it's widest
widest part
part under
under your
your arms
arms and
and compare
compare it
it to
to the
the chart
chart below
below picking
picking the
the closest
closest size.
size. As
As with
with our
our tees,
tees, our
our Hoodies/Sweater
Hoodies/Sweater tend
tend to
to follow
follow a
a slimmer
slimmer fit,
fit, so
so if
if in
in doubt
doubt or
or between
between two
two sizes
sizes we'd
we'd always
always recommend
recommend ordering
ordering the
the larger
larger one.
