I had
had to
to read
read the
the Wikipedia
Wikipedia article
article to
to contextualize
contextualize this
this scene
scene and
and this
this movie
movie sounds
sounds like
like hell
hell to
to sit
sit through.
through. Guess
Guess that's
that's how
how things
things get
get nominated
nominated for
for Oscars.
Oscars. Weird
Weird Al
Al tries
tries to
to improve
improve on
on his
his flawless
flawless accordion
accordion tootling
tootling under
under the
the direction
direction of
of J.K.
J.K. Simmons.
Simmons. He
He is
is beaten,
beaten, but
but his
his spirit
spirit is
is not
not broken,
broken, even
even when
when he
he gets
gets hit
hit by
by a
a chair.
